item_id,participant_id,age,gender,first_language,other_languages,clinical_diagnoses,stimulus,response,accuracy
1,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a sottle appeared in my garden. Today there was another one. Now there are two?,Yes,0
2,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a nandy appeared in my garden. Today there was another one. Now there are two ?,Nandies,1
3,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a temon appeared in my garden. Today there was another one. Now there are two ?,temons,1
4,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a jater appeared in my garden. Today there was another one. Now there are two ?,jaters,1
5,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a flanet appeared in my garden. Today there was another one. Now there are two ?,flanets,1
6,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a bocket appeared in my garden. Today there was another one. Now there are two ?,Bockets,1
7,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a capkin appeared in my garden. Today there was another one. Now there are two ?,Capkins,1
8,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a ciger appeared in my garden. Today there was another one. Now there are two ?',cigers,1
9,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a luty appeared in my garden. Today there was another one. Now there are two ?,luties,1
10,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a sungus appeared in my garden. Today there was another one. Now there are two ?,sunguses,1
11,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a thovel appeared in my garden. Today there was another one. Now there are two ?,thovels,1
12,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a lencil appeared in my garden. Today there was another one. Now there are two ?,Lencils,1
13,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a zouse appeared in my garden. Today there was another one. Now there are two ?,Zouses,1
14,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a joman appeared in my garden. Today there was another one. Now there are two ?,jomans,1
15,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a desson appeared in my garden. Today there was another one. Now there are two ?,Dessons,1
16,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a lamera appeared in my garden. Today there was another one. Now there are two ?,Lameras,1
17,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a relephone appeared in my garden. Today there was another one. Now there are two ?,relephones,1
18,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a fomputer appeared in my garden. Today there was another one. Now there are two ?,fomputers,1
19,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a licycle appeared in my garden. Today there was another one. Now there are two ?,licycles,1
20,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a mucumber appeared in my garden. Today there was another one. Now there are two ?,macumbers,0
21,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a rospital appeared in my garden. Today there was another one. Now there are two ?,rospitals,1
22,1,50,Male,English,English,No,Continue the phrase with only one word. Here is an example: Yesterday a glorp appeared in my garden. Today there was another one. Now there are two? [response: glorps].Continue the phrase with only one word: Yesterday a forpedo appeared in my garden. Today there was another one. Now there are two ?,forpedos,1
